ID_Cliente,Regiao,Canal_Venda,Porte_Cliente,Segmento,Tempo_Relacionamento_meses,Recencia_dias,Frequencia_pedidos_ano,Ticket_Medio_R$,N_Categorias_Compradas,Faturamento_Anual_R$,Desconto_Medio_%,Satisfacao_NPS_1a10,Chamados_Suporte_ano,Atraso_Medio_Pagamento_dias,Comprou_Cutelaria,Comprou_Panelas,Comprou_Utilidades_Cozinha,Comprou_Ferramentas,Comprou_Eletroportateis,Comprou_Moveis,Comprou_Talheres,Comprou_Jardinagem,Churn,Desconto_Medio_%_ausente,Satisfacao_NPS_1a10_ausente,Faturamento_Anual_R$_original,Porte_Cliente_ord,Churn_bin,Regiao_Centro-Oeste,Regiao_Nordeste,Regiao_Norte,Regiao_Sudeste,Regiao_Sul,Canal_Venda_Atacado,Canal_Venda_Distribuidor,Canal_Venda_E-commerce,Canal_Venda_Marketplace,Canal_Venda_Varejo Físico,Segmento_Corporativo,Segmento_Doméstico,Segmento_Profissional/Food Service,Faturamento_por_Pedido,Total_Categorias_Compradas,Cliente_Insatisfeito,Tempo_Relacionamento_meses_z,Recencia_dias_z,Frequencia_pedidos_ano_z,Ticket_Medio_R$_z,N_Categorias_Compradas_z,Faturamento_Anual_R$_z,Desconto_Medio_%_z,Satisfacao_NPS_1a10_z,Chamados_Suporte_ano_z,Atraso_Medio_Pagamento_dias_z,Porte_Cliente_ord_z,Faturamento_por_Pedido_z,Total_Categorias_Compradas_z
TRM1000,Nordeste,Varejo Físico,Grande,Doméstico,39,46,32,760.32,2,22650.383749999997,1.1,7.3,5,3,0,1,1,0,0,0,0,0,Sim,0,0,26864.41,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,707.8244921874999,2,0,0.15669274374326234,-0.5534803927535324,2.064472391785998,0.943675221144038,-1.6316878737018699,2.014396163879741,-1.816156409248961,-0.06711847343899417,0.6612498385739246,-0.448759730212768,1.819176107308391,0.6966715571556474,-1.6316878737018699
TRM1001,Sudeste,Marketplace,Pequeno,Corporativo,25,45,8,259.22,7,3016.26,10.2,7.5,5,6,1,1,1,1,0,1,1,1,Sim,0,1,3016.26,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,377.0325,7,0,-0.543137424631553,-0.5761998278839269,-0.46742771134777317,-0.5266132653517982,1.817408444692327,-0.5458323537689703,0.3341844125911236,0.08203368975876955,0.6612498385739246,0.0421695679162068,-0.8682431421244592,-0.2939635252418183,1.817408444692327
TRM1002,Norte,E-commerce,Pequeno,Doméstico,40,12,7,191.0,3,1279.56,8.45,8.2,2,2,1,1,0,0,0,0,1,0,Não,1,0,1279.56,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,182.7942857142857,3,0,0.206680612912892,-1.3259411871869438,-0.572923548978347,-0.72677906169733,-0.9418686100230305,-0.7722926187247985,-0.07934266853196964,0.6040662609509416,-0.7754489750407306,-0.6124028295890929,-0.8682431421244592,-0.8756559300101839,-0.9418686100230305
TRM1003,Nordeste,Varejo Físico,Médio,Profissional/Food Service,69,208,14,511.54,3,7057.75,2.3,7.4,3,19,1,0,1,0,0,0,1,0,Sim,0,0,7057.75,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,504.125,3,0,1.6563288188321523,3.1270680983703687,0.1655473144356696,0.21372437366761782,-0.9418686100230305,-0.018834659166373523,-1.5325949821931257,0.0074576081598880205,-0.2965493705025122,2.169529859808431,0.4754664825919659,0.08664511155443101,-0.9418686100230305
TRM1004,Sul,Atacado,Pequeno,Corporativo,9,48,8,224.2,6,2194.39,7.2,7.5,8,0,1,1,1,1,0,0,1,1,Não,0,0,2194.39,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,274.29875,6,0,-1.3429433313456276,-0.5080415224927435,-0.46742771134777317,-0.6293662144579332,1.1275891810134877,-0.6530016391718877,-0.3747191550484646,0.08203368975876955,2.0979486521885797,-0.9396890283417427,-0.8682431421244592,-0.601624107419891,1.1275891810134877
TRM1005,Centro-Oeste,Varejo Físico,Pequeno,Doméstico,15,74,4,212.05,6,1091.21,9.6,7.1,3,0,1,1,1,1,1,0,0,1,Sim,0,0,1091.21,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,272.8025,6,0,-1.0430161163278495,0.08266379089751219,-0.8894110618700684,-0.6650157956012666,1.1275891810134877,-0.7968528714480265,0.19240369906320598,-0.21627063663675788,-0.2965493705025122,-0.9396890283417427,-0.8682431421244592,-0.6061049829460344,1.1275891810134877
TRM1006,Nordeste,Varejo Físico,Grande,Profissional/Food Service,26,50,34,719.16,5,22650.383749999997,6.4,7.5,2,0,1,1,1,0,1,0,1,0,Não,0,1,31261.24,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,666.187757352941,5,0,-0.4931495554619233,-0.4626026522319546,2.2754640670471455,0.8229067635424241,0.4377699173346484,2.014396163879741,-0.5637601064190214,0.08203368975876955,-0.7754489750407306,-0.9396890283417427,1.819176107308391,0.5719804787204261,0.4377699173346484
TRM1007,Nordeste,Varejo Físico,Grande,Doméstico,45,32,48,873.67,4,22650.383749999997,15.8,4.9,7,0,0,1,1,0,1,0,0,1,Sim,0,0,50770.01,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,471.8829947916666,4,1,0.45661995876104033,-0.8715524845790548,3.752405793875179,1.2762579390532436,-0.252049346344191,2.014396163879741,1.657471072185022,-1.8569444318121568,1.6190490476503614,-0.9396890283417427,1.819176107308391,-0.009911220643939093,-0.252049346344191
TRM1008,Sul,Varejo Físico,Médio,Profissional/Food Service,38,103,21,478.11,5,13562.62,11.1,7.7,1,13,1,1,1,0,1,0,1,0,Não,0,0,13562.62,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,645.8390476190476,5,0,0.10670487457363266,0.7415274096789513,0.9040181778496862,0.11563667839011671,0.4377699173346484,0.8293801065981327,0.5468554828830001,0.23118585295653327,-1.254348579578949,1.1876712635504814,0.4754664825919659,0.5110414408355805,0.4377699173346484
TRM1009,Sudeste,Varejo Físico,Pequeno,Profissional/Food Service,45,64,7,229.8,5,2177.93,8.2,10.0,3,17,1,1,1,0,1,0,1,0,Não,0,0,2177.93,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,311.1328571428571,5,0,0.45661995876104033,-0.14453056040643233,-0.572923548978347,-0.6129351317910469,0.4377699173346484,-0.6551479718494789,-0.13841796583526866,1.9464357297308144,-0.2965493705025122,1.842243661055781,-0.8682431421244592,-0.49131563676072665,0.4377699173346484
TRM1010,Sudeste,Varejo Físico,Médio,Doméstico,25,48,9,462.46,3,4336.26,4.5,7.1,1,0,1,1,1,0,0,0,0,0,Não,0,0,4336.26,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,481.8066666666667,3,0,-0.543137424631553,-0.5080415224927435,-0.36193187371719937,0.06971767057997924,-0.9418686100230305,-0.3737084695392857,-1.012732365924094,-0.21627063663675788,-1.254348579578949,-0.9396890283417427,0.4754664825919659,0.019807568618661467,-0.9418686100230305
TRM1011,Centro-Oeste,Varejo Físico,Médio,Doméstico,32,74,16,505.18,4,9719.84,4.1,7.0,0,0,1,1,0,1,0,0,0,1,Não,0,0,9719.84,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,607.49,4,0,-0.19322234044414532,0.08266379089751219,0.3765389896968172,0.19506335835308272,-0.252049346344191,0.32829357641620294,-1.1072528416093728,-0.2908467182356394,-1.7332481841171674,-0.9396890283417427,0.4754664825919659,0.39619612158605616,-0.252049346344191
TRM1012,Sudeste,Varejo Físico,Pequeno,Doméstico,57,54,11,156.92,6,2091.76,12.1,8.5,1,0,0,1,1,1,1,0,1,1,Não,0,0,2091.76,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,190.16000000000003,6,0,1.0564743887965964,-0.3717249117103768,-0.15094019845605175,-0.8267739362129519,1.1275891810134877,-0.6663842711707455,0.7831566720961963,0.8277945057475875,-1.254348579578949,-0.9396890283417427,-0.8682431421244592,-0.853597551480244,1.1275891810134877
TRM1013,Nordeste,Distribuidor,Médio,Doméstico,36,174,14,464.35,2,6787.18,2.0,8.3,4,15,0,0,1,0,0,0,1,0,Não,0,0,6787.18,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,484.79857142857145,2,0,0.006729136234373333,2.354607303936957,0.1655473144356696,0.07526316098005346,-1.6316878737018699,-0.05411614352699905,-1.6034853389570844,0.6786423425498245,0.18235023403570624,1.5149574623031312,0.4754664825919659,0.028767537089285495,-1.6316878737018699
